Provider_ID,ZIP_Code,Hospital_overall_rating
201305,4619,4
210051,20706,3
191305,70071,3
150181,46037,4
131303,83252,Not Available
191306,70775,Not Available
140046,62864,3
161330,50025,Not Available
141324,62930,2
151312,47960,3
161369,51442,2
141310,61342,4
140001,61520,3
210038,21201,2
160147,50112,3
140082,60640,1
170039,67152,3
140135,62526,5
141331,62832,4
141312,61068,4
140184,62959,2
160101,50314,2
190019,71301,3
111316,31830,Not Available
140181,60617,2
190202,70816,3
191316,70760,Not Available
161360,51041,3
190039,70072,3
220020,2721,3
131313,83422,Not Available
140186,60901,4
190046,70115,4
200019,4005,2
171330,67554,Not Available
171360,67455,Not Available
141308,62263,4
141334,62966,3
180092,40391,3
161349,52349,Not Available
140048,60617,3
161337,52565,Not Available
140224,60657,4
170013,67601,4
210030,21620,2
140100,60099,5
201315,4268,3
180025,40004,3
151317,47441,3
131301,83805,Not Available
161315,52591,Not Available
171327,67439,Not Available
160040,50613,4
160058,52242,3
140251,60634,2
171310,67756,Not Available
170103,67114,4
190177,70433,3
131307,83672,Not Available
111314,39823,Not Available
161351,51334,4
140158,60616,1
181319,40143,3
180138,40031,4
171370,67735,Not Available
171366,67058,Not Available
140116,60050,5
171319,66436,Not Available
150072,46947,4
151303,47265,3
150065,47274,5
111332,31643,Not Available
110198,30076,2
111300,39840,Not Available
161356,52641,4
150169,46256,3
171373,66749,2
111302,31014,3
171351,66968,Not Available
180102,42003,3
220080,1844,4
171364,67473,Not Available
220063,1854,2
171309,66956,Not Available
161340,50144,Not Available
121306,96746,Not Available
170109,66071,4
181331,41647,Not Available
171384,66801,3
180001,41075,3
190263,70508,4
150112,47201,4
200034,4240,4
210016,20912,3
161312,52052,Not Available
121302,96755,Not Available
161364,52556,3
130014,83605,4
110201,31210,4
140049,60302,1
181308,40383,Not Available
141321,62812,2
131321,83522,2
160032,50208,3
140062,60463,5
170014,66067,4
220012,2601,5
170020,67502,2
150146,46755,4
151329,47006,4
210044,21204,4
141333,62681,Not Available
141341,62557,3
180088,40202,2
161372,50036,3
161324,51640,Not Available
150009,47130,3
210028,20650,3
151310,46992,4
150004,46320,3
170146,66112,5
150091,46750,4
210006,21078,2
180043,40962,4
110225,30143,3
131324,83213,Not Available
190133,70648,Not Available
190017,70570,3
140209,61636,4
180029,41701,2
161362,51012,3
120026,96701,4
140008,60160,3
140240,60160,2
180021,40977,3
171375,67420,4
170150,67005,3
210013,21223,2
170142,66502,3
130003,83501,4
111324,30546,4
220052,2302,2
110229,30265,4
191319,70525,Not Available
140019,62565,4
150084,46260,4
150015,46360,3
190125,71201,4
220008,2703,2
141344,62439,3
171317,67547,Not Available
111327,31510,4
120001,96813,5
150158,46123,5
120002,96793,3
150011,46952,3
170145,67337,3
210018,20832,3
141350,62056,3
190014,70380,2
180002,41858,3
181320,42078,4
190146,70006,4
140143,61362,4
151307,47993,3
141305,62321,3
110215,30214,2
181316,41749,Not Available
161376,50022,4
210049,21014,3
151311,46072,5
140213,60451,5
150048,47374,4
140053,62769,3
180101,40324,4
181304,42211,2
171379,66846,Not Available
191315,71465,2
220029,1950,4
151302,47348,4
140114,60625,3
170012,67401,3
180018,40351,3
190015,70403,3
141339,62568,4
171355,67672,Not Available
113300,30322,Not Available
111326,31635,Not Available
220046,1201,3
210065,20876,3
210012,21215,3
180040,40202,1
160013,52761,4
161302,50525,3
140185,62226,3
220030,1069,5
160104,52722,3
151315,46703,3
171337,66547,Not Available
171340,67449,Not Available
210032,21921,3
190114,71040,4
160057,52655,3
140179,60805,2
190090,71483,3
131315,83530,4
181310,41008,3
210062,20735,2
110190,31063,Not Available
140206,60622,1
180036,41101,2
190111,71103,5
161327,52537,Not Available
160080,52732,4
150056,46202,3
200039,4330,4
161314,50115,3
141336,62249,4
180087,42718,2
181314,42749,4
191302,70517,Not Available
161344,52353,3
150104,46052,4
161321,51246,Not Available
200008,4101,5
110230,30097,5
160153,51101,1
170122,67214,4
140275,61282,2
170074,66441,3
171331,67070,Not Available
140208,60453,3
210033,21157,3
151332,47240,3
210022,20814,4
171307,67730,Not Available
120005,96720,4
140217,60123,3
220017,2124,2
190274,70065,2
